"","name","url","query","woeid"
"1","Best Picture","http://twitter.com/search?q=%22Best+Picture%22","%22Best+Picture%22","2490383"
"2","Jordan Peele","http://twitter.com/search?q=%22Jordan+Peele%22","%22Jordan+Peele%22","2490383"
"3","#MondayMotivation","http://twitter.com/search?q=%23MondayMotivation","%23MondayMotivation","2490383"
"4","#LoseYourJobIn5Words","http://twitter.com/search?q=%23LoseYourJobIn5Words","%23LoseYourJobIn5Words","2490383"
"5","#SXSWEDU","http://twitter.com/search?q=%23SXSWEDU","%23SXSWEDU","2490383"
"6","On The Run 2","http://twitter.com/search?q=%22On+The+Run+2%22","%22On+The+Run+2%22","2490383"
"7","#ARMYSelcaDay","http://twitter.com/search?q=%23ARMYSelcaDay","%23ARMYSelcaDay","2490383"
"8","Christopher Steele","http://twitter.com/search?q=%22Christopher+Steele%22","%22Christopher+Steele%22","2490383"
"9","#RedCarpetSchmovies","http://twitter.com/search?q=%23RedCarpetSchmovies","%23RedCarpetSchmovies","2490383"
"10","Childish Gambino","http://twitter.com/search?q=%22Childish+Gambino%22","%22Childish+Gambino%22","2490383"
"11","AP Top 25","http://twitter.com/search?q=%22AP+Top+25%22","%22AP+Top+25%22","2490383"
"12","Bill Belichick","http://twitter.com/search?q=%22Bill+Belichick%22","%22Bill+Belichick%22","2490383"
"13","Paul DeJong","http://twitter.com/search?q=%22Paul+DeJong%22","%22Paul+DeJong%22","2490383"
"14","Zagat","http://twitter.com/search?q=Zagat","Zagat","2490383"
"15","Antonio Cromartie","http://twitter.com/search?q=%22Antonio+Cromartie%22","%22Antonio+Cromartie%22","2490383"
"16","AP Poll","http://twitter.com/search?q=%22AP+Poll%22","%22AP+Poll%22","2490383"
"17","Denzel Ward","http://twitter.com/search?q=%22Denzel+Ward%22","%22Denzel+Ward%22","2490383"
"18","Hillbilly Jim","http://twitter.com/search?q=%22Hillbilly+Jim%22","%22Hillbilly+Jim%22","2490383"
"19","Frances McDormand's Oscar","http://twitter.com/search?q=%22Frances+McDormand%27s+Oscar%22","%22Frances+McDormand%27s+Oscar%22","2490383"
"20","Utica College","http://twitter.com/search?q=%22Utica+College%22","%22Utica+College%22","2490383"
"21","Cuonzo Martin","http://twitter.com/search?q=%22Cuonzo+Martin%22","%22Cuonzo+Martin%22","2490383"
"22","New River","http://twitter.com/search?q=%22New+River%22","%22New+River%22","2490383"
"23","Le'Veon Bell","http://twitter.com/search?q=%22Le%27Veon+Bell%22","%22Le%27Veon+Bell%22","2490383"
"24","National Mall","http://twitter.com/search?q=%22National+Mall%22","%22National+Mall%22","2490383"
"25","Jaire Alexander","http://twitter.com/search?q=%22Jaire+Alexander%22","%22Jaire+Alexander%22","2490383"
"26","Bey and Jay","http://twitter.com/search?q=%22Bey+and+Jay%22","%22Bey+and+Jay%22","2490383"
"27","Neyland Stadium","http://twitter.com/search?q=%22Neyland+Stadium%22","%22Neyland+Stadium%22","2490383"
"28","Secret NYPD Files","http://twitter.com/search?q=%22Secret+NYPD+Files%22","%22Secret+NYPD+Files%22","2490383"
"29","Boston Massacre","http://twitter.com/search?q=%22Boston+Massacre%22","%22Boston+Massacre%22","2490383"
"30","#HereToFight","http://twitter.com/search?q=%23HereToFight","%23HereToFight","2490383"
"31","#FragilityForum18","http://twitter.com/search?q=%23FragilityForum18","%23FragilityForum18","2490383"
"32","#AM2DM","http://twitter.com/search?q=%23AM2DM","%23AM2DM","2490383"
"33","#BRITEconf","http://twitter.com/search?q=%23BRITEconf","%23BRITEconf","2490383"
"34","#NASPA18","http://twitter.com/search?q=%23NASPA18","%23NASPA18","2490383"
"35","#WiDS2018","http://twitter.com/search?q=%23WiDS2018","%23WiDS2018","2490383"
"36","#GPW2018","http://twitter.com/search?q=%23GPW2018","%23GPW2018","2490383"
"37","#MoviePitchMonday","http://twitter.com/search?q=%23MoviePitchMonday","%23MoviePitchMonday","2490383"
"38","#NSBW18","http://twitter.com/search?q=%23NSBW18","%23NSBW18","2490383"
"39","#PoynterWomenLeaders","http://twitter.com/search?q=%23PoynterWomenLeaders","%23PoynterWomenLeaders","2490383"
"40","#GartnerDA","http://twitter.com/search?q=%23GartnerDA","%23GartnerDA","2490383"
"41","#MeatlessMonday","http://twitter.com/search?q=%23MeatlessMonday","%23MeatlessMonday","2490383"
"42","#TPM2018","http://twitter.com/search?q=%23TPM2018","%23TPM2018","2490383"
"43","#305Day","http://twitter.com/search?q=%23305Day","%23305Day","2490383"
"44","#IAFFLegCon","http://twitter.com/search?q=%23IAFFLegCon","%23IAFFLegCon","2490383"
"45","#emeMIT","http://twitter.com/search?q=%23emeMIT","%23emeMIT","2490383"
"46","#MSTechSummit","http://twitter.com/search?q=%23MSTechSummit","%23MSTechSummit","2490383"
"47","#StatesLeading","http://twitter.com/search?q=%23StatesLeading","%23StatesLeading","2490383"
"48","#Bellator200","http://twitter.com/search?q=%23Bellator200","%23Bellator200","2490383"
"49","#DelicateMusicVideo","http://twitter.com/search?q=%23DelicateMusicVideo","%23DelicateMusicVideo","2490383"
"50","#CERAWeek18","http://twitter.com/search?q=%23CERAWeek18","%23CERAWeek18","2490383"
