"","text","retweet_count","favorite_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","photo","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"1","TEST_LAT/LON: d8e28ffa-6b1d-4566-9fc4-743db5f26112",0,0,FALSE,FALSE,"971564445724942336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">GeoScrubApp</a>",FALSE,"Thu Mar 08 01:53:09 +0000 2018",NA,NA,"in",24,FALSE,NA,"758415480881164288",NA,TRUE,"Wed Jul 27 21:35:16 +0000 2016",611440,30,0,FALSE,NA,"Test Account2","Pacific Time (US & Canada)","en",-28800,0,"test5geo1798",FALSE,"US","United States","city","San Francisco, CA",NA,NA,37.7706565,-122.4359785,37.781157,-122.39872,NA,NA
"2","Surf check. Dog day afternoon. #california #doglover #sunset #outdoorslife #photography @… https://t.co/o585FYW9tb",0,0,FALSE,FALSE,"971564445804761088",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Thu Mar 08 01:53:09 +0000 2018",NA,NA,"en",1,FALSE,"Los Angeles, CA","2501742163",NA,TRUE,"Sat May 17 14:45:04 +0000 2014",801,41,161,FALSE,"http://bit.ly/Savior_KS","Arc Effect",NA,"en",NA,141,"TheArcEffect",FALSE,"US","United States","city","Manhattan Beach, CA",NA,NA,33.8894865,-118.400884,33.88888889,-118.40527778,"https://www.instagram.com/p/BgC2N1Il22Y/","https://t.co/o585FYW9tb"
"3","I JUST WANT TO SKI<U+203C><U+FE0F>
absolutely dying to get back on snow to keep doing what I love<U+2728>
4 months… https://t.co/1ELQbXFT9r",0,0,FALSE,FALSE,"971564448396840961",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Thu Mar 08 01:53:09 +0000 2018",NA,NA,"en",0,FALSE,NA,"998189736","845•970 eat. sleep. ski. repeat.             ig:@shiau_tau7",TRUE,"Sat Dec 08 23:25:42 +0000 2012",3666,867,4694,FALSE,NA,"Shiau-Tau","Central Time (US & Canada)","en",-21600,789,"shiau_tau7",FALSE,"US","United States","admin","Colorado, USA",NA,NA,38.997936,-105.5508905,39.9041,-105.779,"https://www.instagram.com/p/BgC2NzShj5E/","https://t.co/1ELQbXFT9r"
"4","5:54pm: sunset",0,0,FALSE,FALSE,"971564452825899008",NA,"<a href=""http://twitter.com/USACities/cities"" rel=""nofollow"">Cities</a>",FALSE,"Thu Mar 08 01:53:11 +0000 2018",NA,NA,"en",5,FALSE,"Stanton, CA","227149406","Weather updates, forecast, warnings and information for Stanton, CA. Sources: http://OpenWeatherMap.org, NOAA, USGS.",TRUE,"Thu Dec 16 01:58:02 +0000 2010",27226,13,0,FALSE,NA,"Stanton Weather","Alaska","en",-32400,1,"StantonCA",FALSE,"US","United States","city","Stanton, CA",NA,NA,33.794812,-117.9924755,33.8,-118,NA,NA
"5","Want to work at Chicos FAS? We're #hiring in #FortMyers, FL! Click for details: https://t.co/TSKpoqJj9E #Retail #Job #Jobs",0,0,FALSE,FALSE,"971564453228552192",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>",FALSE,"Thu Mar 08 01:53:11 +0000 2018",NA,NA,"en",481,FALSE,NA,"2798308393","WH|BM offers fashionable and sophisticated clothing and accessory items. Our passion has always been to make women feel beautiful. That’s what we’re about.",TRUE,"Mon Sep 08 17:07:23 +0000 2014",1498,182,0,FALSE,"http://jobs.chicos.com/careers/white-house-black-market-jobs","WHBM Careers","Eastern Time (US & Canada)","en",-18000,0,"WHBMCareers",FALSE,"US","United States","city","Fort Myers, FL",NA,NA,26.622149,-81.8231765,26.640628,-81.8723084,"http://bit.ly/2GCcLLK","https://t.co/TSKpoqJj9E"
"6","We're #hiring! Read about our latest #job opening here: Registered Nurse - https://t.co/2jF377X8d2 #hcsm… https://t.co/666GeqaBre",0,0,FALSE,TRUE,"971564454067367936",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",FALSE,"Thu Mar 08 01:53:11 +0000 2018",NA,NA,"en",110,FALSE,NA,"3447278061","Looking for a fun place to #work with great benefits? Choose #PRMC #Careers #Hiring; Choose #Peninsula #Regional #Medical Center",TRUE,"Wed Aug 26 13:27:26 +0000 2015",539,152,2,FALSE,"https://www.peninsula.org/employment-opportunities","PRMC Jobs",NA,"en",NA,136,"PRMCJobs",FALSE,"US","United States","city","Salisbury, MD",NA,NA,38.3604215,-75.600576,38.3606736,-75.5993692,"http://bit.ly/2D9dLUs","https://t.co/2jF377X8d2"
"7","I'm at HNTB Corporation in Bellevue, WA https://t.co/lk0sN0OEMK",0,0,FALSE,FALSE,"971564428369039360",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Thu Mar 08 01:53:05 +0000 2018",NA,NA,"en",161,FALSE,"Kansas City, MO","491466176","Creating holistic innovations in transportation, urban development, and Kansas City. Project Manager at @HNTBCorp. @CenturionsKC 2018 Class. Opinions my own.",TRUE,"Mon Feb 13 17:27:24 +0000 2012",21371,1604,12510,FALSE,"https://www.linkedin.com/in/jaredrmiller","Jared R. Miller","Central Time (US & Canada)","en",-21600,2784,"jrmiller962",FALSE,"US","United States","city","Bellevue, WA",NA,NA,47.5978565,-122.149768,47.61074281,-122.19495951,"https://www.swarmapp.com/c/dnU74F6KZ0z","https://t.co/lk0sN0OEMK"
"8","Hair by Emily… https://t.co/gme6sYeCJn",0,0,FALSE,FALSE,"971564456034689024",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Thu Mar 08 01:53:11 +0000 2018",NA,NA,"en",16,FALSE,"Long Beach","876223405",NA,TRUE,"Fri Oct 12 19:01:46 +0000 2012",2058,432,7,FALSE,"http://iloveunderground.com","Underground Salon",NA,"en",NA,283,"UndergroundInLB",FALSE,"US","United States","city","Long Beach, CA",NA,NA,33.8091715,-118.1567105,33.81854052,-118.0698664,"https://www.instagram.com/p/BgC2OLlFaRu/","https://t.co/gme6sYeCJn"
"9","The #PromDesignChallenge submissions have been received. Winners coming soon! @ Jane Long… https://t.co/4sId6KzJ1l",0,0,FALSE,FALSE,"971564459255894017",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Thu Mar 08 01:53:12 +0000 2018",NA,NA,"en",1,FALSE,"Houston, TX","788142160130428928","An official @FIDM fashion club at Long Academy. Come join us for fashion, fundraisers, and fun! President @nelyyc_ Co-President @fifigirardi",TRUE,"Mon Oct 17 22:18:28 +0000 2016",56,39,120,FALSE,NA,"Fashion Club Long",NA,"en",NA,144,"fashionclublong",FALSE,"US","United States","city","Houston, TX",NA,NA,29.838495,-95.4464865,29.70417,-95.49917,"https://www.instagram.com/p/BgC2OGEHpjS/","https://t.co/4sId6KzJ1l"
"10","Don’t leave me hanging. Opening Reception for “Eulogy of the Family Home tonight at The Gallery… https://t.co/jVbAfw7Z5B",0,0,FALSE,FALSE,"971564460421931008",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Thu Mar 08 01:53:12 +0000 2018",NA,NA,"en",107,FALSE,"New Westminster, British Columbia","314952428","West Coast Artist, loving the landscape, heritage homes and art in general. If interested in my work email me: contact@irismes-Low.com",TRUE,"Sat Jun 11 02:28:09 +0000 2011",3290,912,46,FALSE,"http://www.irismes-low.com","Iris Mes-Low","Tijuana","en",-28800,1637,"IrisMesLowArt",FALSE,"CA","Canada","city","New Westminster, British Columbia",NA,NA,49.2067515,-122.917508,49.21741139,-122.90797412,"https://www.instagram.com/p/BgC2N2OHow1/","https://t.co/jVbAfw7Z5B"
